
 25246: fstat(  5:0x4d0452a0, 0x4cd6c7c3, 0xf3df6a40 ) = 00000000
 25246: rt_sigprocmask(  14:00000000, 0x46e7d14d, 0x80632b00 ) = 00000000

 25246: rt_sigaction(  13:0x000003, 0x46e7cfed, 0x823f41e0 ) = 00000000

 25246: uname(  63:0x823f4240, 0x46f22547, 00000000 ) = 00000000

 25246: stat(  4:0x823f41f0, 0x46f4d775, 0x823f41f0 ) = 00000000

 25246: stat(  4:0x823f41f0, 0x46f4d775, 0x823f4280 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4230 ) = 00000000

 25246: stat(  4:0x81ffd610, 0x46f4d775, 0x823f4290 ) = 00000000

 25246: getpid(  39:0x823f5fd4, 0x46f238e7, 00000000 ) = 0x00629e

 25246: openat(  257:00000000, 0x46f4ddb1, 00000000 ) = 0x000003

 25246: fstat(  5:0x000003, 0x46f4d7c3, 0x823f4040 ) = 00000000

 25246: mmap(  9:00000000, 0x46f59a13, 0x000001 ) = 0x4787d000

 25246: close(  3:0x000003, 0x46f4e947, 0x000001 ) = 00000000

 25246: getppid(  110:00000000, 0x46f238f7, 00000000 ) = 0x00629d

 25246: getpid(  39:0x5cbece66, 0x46f238e7, 0x021c2e ) = 0x00629e

 25246: getpgrp(  111:00000000, 0x46f23ba7, 0x81fffc20 ) = 0x00629d

 25246: ioctl(  16:00000000, 0x46f545d7, 0x823f43c4 ) = 00000000

 25246: rt_sigaction(  13:0x000011, 0x46e7cfed, 0x823f41d0 ) = 00000000

 25246: prlimit64(  302:0x000001, 0x46f53fa0, 00000000 ) = 00000000

 25246: rt_sigprocmask(  14:0x80632b80, 0x46e7d14d, 0x80632bc8 ) = 00000000

 25246: openat(  257:0x82002670, 0x46f4dc8e, 00000000 ) = 0x000003

 25246: stat(  4:0x82002670, 0x46f4d775, 0x823f4470 ) = 00000000

 25246: ioctl(  16:0x82002670, 0x46f53ca8, 0x823f4480 ) = 0xffffffe7

 25246: lseek(  8:0x82002670, 0x46f4e217, 0x000001 ) = 00000000

 25246: read(  0:0x82002670, 0x46f4e081, 0x000050 ) = 0x000050

 25246: lseek(  8:0x82002670, 0x46f4e217, 00000000 ) = 00000000

 25246: prlimit64(  302:0x82002670, 0x46f53fa0, 00000000 ) = 00000000

 25246: fcntl(  72:0x0000ff, 0x46f4e5f1, 0x823f44e4 ) = 0xfffffff7

 25246: dup2(  33:0x0000ff, 0x46f4e9a7, 0xffffff80 ) = 0x0000ff

 25246: close(  3:0x0000ff, 0x46f4e8d4, 0xffffff80 ) = 00000000

 25246: fcntl(  72:0x82002670, 0x46f4e5f1, 0x000001 ) = 00000000

 25246: fcntl(  72:0x0000ff, 0x46f4e5f1, 00000000 ) = 0x008000

 25246: fstat(  5:0x81ff4420, 0x46f4d7c3, 0x823f4430 ) = 00000000

 25246: lseek(  8:0x81ff4420, 0x46f4e217, 0x000001 ) = 00000000

 25246: read(  0:0x82002ee0, 0x46f4e081, 0x000751 ) = 0x000751

 25246: pipe(  22:00000000, 0x46f4ea07, 0x000010 ) = 00000000

 25246: rt_sigprocmask(  14:0x823f3e80, 0x46e7d14d, 0x823f3e80 ) = 00000000

 25246: rt_sigprocmask(  14:0x823f3e80, 0x46e7d14d, 00000000 ) = 00000000

 25246: rt_sigprocmask(  14:00000000, 0x46e7d14d, 0x823f3e60 ) = 00000000

 25246: lseek(  8:0x82002ee0, 0x46f4e217, 0x000001 ) = 0x000128

 25246: clone(  56:00000000, 0x46f22b1c, 00000000 ) = parent: ptrace event (PTRACE_EVENT_FORK) [25247]

 25246: clone(  56:00000000, 0x46f22b1c, 00000000 ) = parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
parent: Signal: [UNKNOWN] =  133
